sub_category_id,position,redirect_url,store_code
137,0,/categories/137,GRK001
60,1,/categories/60,GRK001
33,2,/categories/33,GRK001
32,3,/categories/32,GRK001
63,4,/categories/63,GRK001
22,5,/categories/22,GRK001
126,6,/categories/126,GRK001
50,7,/categories/50,GRK001
49,8,/categories/49,GRK001
159,9,/categories/159,GRK001
100,10,/categories/100,GRK001
112,11,/categories/112,GRK001
133,12,/categories/133,GRK001
4,13,/categories/4,GRK001
39,14,/categories/39,GRK001
130,15,/categories/130,GRK001
20,16,/categories/20,GRK001
120,17,/categories/120,GRK001
27,18,/categories/27,GRK001
155,19,/categories/155,GRK001
19,20,/categories/19,GRK001
58,21,/categories/58,GRK001
72,22,/categories/72,GRK001
3,23,/categories/3,GRK001
86,24,/categories/86,GRK001
128,25,/categories/128,GRK001
156,26,/categories/156,GRK001
171,27,/categories/171,GRK001
92,28,/categories/92,GRK001
157,29,/categories/157,GRK001
